id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
35,F,21,working,construction,not commuting,Ho,-565603,-1.20173e+06,2376
36,M,0,at home,undef,not commuting,Ho,-565603,-1.20173e+06,2376
37,F,52,working,health,not commuting,Ho,-564628,-1.20269e+06,7049
38,F,21,at home,undef,not commuting,Ho,-564628,-1.20269e+06,7049
39,M,43,at home,undef,not commuting,Ho,-563653,-1.2025e+06,7915
40,F,0,at home,undef,not commuting,Ho,-565910,-1.20213e+06,2018
41,F,22,student,undef,30 to 45 mins,Ho,-565910,-1.20213e+06,2018
42,F,31,working,construction,not commuting,Ho,-563938,-1.20204e+06,1825
43,M,10,student,undef,not commuting,Ho,-563938,-1.20204e+06,1825
44,M,40,working,construction,not commuting,Ho,-563938,-1.20204e+06,1825
45,M,50,working,tradeandmoto,15 to 30 min,Ho,-563792,-1.20322e+06,10342
46,F,44,working,education,not commuting,Ho,-565039,-1.20165e+06,4509
47,M,21,at home,undef,not commuting,Ho,-565039,-1.20165e+06,4509
48,M,24,student,undef,15 to 30 min,Ho,-565039,-1.20165e+06,4509
49,M,9,student,undef,not commuting,Ho,-565039,-1.20165e+06,4509
50,F,23,at home,undef,not commuting,Ho,-565039,-1.20165e+06,4509
51,F,61,retired,undef,not commuting,Ho,-564304,-1.20251e+06,632
52,M,76,retired,undef,not commuting,Ho,-565603,-1.20173e+06,2379
53,F,27,working,education,not commuting,Ho,-564738,-1.20164e+06,366
54,M,2,at home,undef,not commuting,Ho,-564738,-1.20164e+06,366
55,M,13,student,undef,not commuting,Ho,-563759,-1.20178e+06,6944
56,F,33,at home,undef,not commuting,Ho,-563759,-1.20178e+06,6944
57,F,10,student,undef,not commuting,Ho,-563759,-1.20178e+06,6944
58,F,10,student,undef,not commuting,Ho,-563759,-1.20178e+06,6944
59,M,38,working,industry,not commuting,Ho,-563661,-1.20221e+06,7470
60,F,54,working,tradeandmoto,not commuting,Ho,-563665,-1.20195e+06,6401
61,M,33,at home,undef,not commuting,Ho,-563665,-1.20195e+06,6401
62,M,31,at home,undef,not commuting,Ho,-563665,-1.20195e+06,6401
63,F,30,working,health,not commuting,Ho,-564299,-1.20321e+06,5246
64,M,35,working,tradeandmoto,not commuting,Ho,-564299,-1.20321e+06,5246
65,M,12,student,undef,not commuting,Ho,-564299,-1.20321e+06,5246
66,F,11,student,undef,not commuting,Ho,-564299,-1.20321e+06,5246
67,F,49,working,industry,not commuting,Ho,-563952,-1.20228e+06,4
68,M,55,working,adminetc,not commuting,Ho,-563952,-1.20228e+06,4
69,F,47,working,publicsector,not commuting,Ho,-563938,-1.20204e+06,1852
70,F,20,working,eatinghousing,not commuting,Ho,-563938,-1.20204e+06,1852
71,M,22,at home,undef,not commuting,Ho,-563938,-1.20204e+06,1852
72,F,50,working,industry,not commuting,Ho,-563751,-1.20307e+06,9262
73,M,55,working,agriculture,60 to 90 mins,Ho,-563751,-1.20307e+06,9262
74,M,64,retired,undef,not commuting,Ho,-565502,-1.20163e+06,6716
75,F,20,student,undef,not commuting,Ho,-565830,-1.20221e+06,5023
76,F,18,student,undef,not commuting,Ho,-565830,-1.20221e+06,5023
77,F,13,student,undef,not commuting,Ho,-565830,-1.20221e+06,5023
78,F,42,working,publicsector,not commuting,Ho,-565830,-1.20221e+06,5023
79,M,30,working,transportation,not commuting,Ho,-564891,-1.20162e+06,3904
80,M,46,working,tradeandmoto,not commuting,Ho,-565256,-1.20168e+06,2825
81,F,79,retired,undef,not commuting,Ho,-564694,-1.20174e+06,10257
82,M,61,working,education,not commuting,Ho,-564989,-1.20166e+06,3764
83,F,58,working,tradeandmoto,not commuting,Ho,-564989,-1.20166e+06,3764
84,F,68,retired,undef,not commuting,Ho,-563659,-1.20235e+06,7671
85,F,20,student,undef,not commuting,Ho,-564867,-1.20168e+06,3984
86,F,22,working,industry,not commuting,Ho,-564867,-1.20168e+06,3984
87,F,2,at home,undef,not commuting,Ho,-565830,-1.20221e+06,5020
88,F,26,at home,undef,not commuting,Ho,-565830,-1.20221e+06,5020
89,M,25,at home,undef,not commuting,Ho,-565830,-1.20221e+06,5020
90,M,17,student,undef,not commuting,Ho,-562673,-1.19906e+06,4546
91,M,28,working,transportation,not commuting,Ho,-563696,-1.20232e+06,7560
92,F,24,student,undef,not commuting,Ho,-563696,-1.20232e+06,7560
93,F,2,at home,undef,not commuting,Ho,-563696,-1.20232e+06,7560
94,F,44,working,health,45 to 60 mins,Ho,-564723,-1.20335e+06,3645
95,M,2,at home,undef,not commuting,Ho,-565039,-1.20165e+06,4501
96,F,28,at home,undef,not commuting,Ho,-565039,-1.20165e+06,4501
97,M,20,student,undef,not commuting,Ho,-564266,-1.20239e+06,535
98,F,43,working,adminetc,not commuting,Ho,-564266,-1.20239e+06,535
99,M,24,student,undef,not commuting,Ho,-564266,-1.20239e+06,535
100,M,22,at home,undef,not commuting,Ho,-564266,-1.20239e+06,535
101,F,73,working,tradeandmoto,not commuting,Ho,-565463,-1.20164e+06,2527
102,M,65,retired,undef,not commuting,Ho,-563772,-1.20213e+06,9995
103,F,54,working,adminetc,not commuting,Ho,-563772,-1.20213e+06,9995
104,F,36,working,industry,not commuting,Ho,-563772,-1.20213e+06,9995
105,F,50,at home,undef,not commuting,Ho,-564158,-1.202e+06,1595
106,M,11,student,undef,not commuting,Ho,-564158,-1.202e+06,1595
107,F,22,working,industry,not commuting,Ho,-564158,-1.202e+06,1595
108,M,51,working,tradeandmoto,not commuting,Ho,-564158,-1.202e+06,1595
109,M,29,at home,undef,not commuting,Ho,-564158,-1.202e+06,1595
110,F,67,retired,undef,not commuting,Ho,-564636,-1.20262e+06,5403
111,F,74,retired,undef,not commuting,Ho,-565333,-1.20174e+06,2424
112,M,43,at home,undef,not commuting,Ho,-565333,-1.20174e+06,2424
113,M,75,working,industry,not commuting,Ho,-565333,-1.20174e+06,2424
114,F,4,at home,undef,not commuting,Ho,-564299,-1.20321e+06,5247
115,F,29,at home,undef,not commuting,Ho,-564299,-1.20321e+06,5247
116,M,38,working,industry,not commuting,Ho,-563767,-1.20298e+06,9392
117,F,32,working,industry,30 to 45 mins,Ho,-563767,-1.20298e+06,9392
118,F,8,student,undef,not commuting,Ho,-563767,-1.20298e+06,9392
119,M,2,at home,undef,not commuting,Ho,-563767,-1.20298e+06,9392
120,F,37,at home,undef,not commuting,Ho,-564540,-1.20236e+06,5389
121,M,7,student,undef,not commuting,Ho,-564540,-1.20236e+06,5389
122,F,79,retired,undef,not commuting,Ho,-564540,-1.20236e+06,5389
123,M,25,working,education,not commuting,Ho,-565156,-1.20171e+06,4664
124,M,48,working,it,not commuting,Ho,-565156,-1.20171e+06,4664
125,F,71,retired,undef,not commuting,Ho,-565156,-1.20171e+06,4664
126,M,27,working,tradeandmoto,not commuting,Ho,-563365,-1.20146e+06,6242
127,F,28,at home,undef,not commuting,Ho,-563365,-1.20146e+06,6242
128,M,26,at home,undef,not commuting,Ho,-563336,-1.20152e+06,6111
129,M,65,retired,undef,not commuting,Ho,-563336,-1.20152e+06,6111
130,F,59,retired,undef,not commuting,Ho,-564624,-1.2029e+06,224
131,M,58,working,adminetc,not commuting,Ho,-564624,-1.2029e+06,224
132,M,38,working,industry,not commuting,Ho,-564200,-1.20188e+06,1857
133,F,27,at home,undef,not commuting,Ho,-564200,-1.20188e+06,1857
134,F,5,at home,undef,not commuting,Ho,-564200,-1.20188e+06,1857
135,F,26,working,industry,not commuting,Ho,-564534,-1.2021e+06,394
136,M,27,working,it,30 to 45 mins,Ho,-564534,-1.2021e+06,394
137,M,1,at home,undef,not commuting,Ho,-563901,-1.20264e+06,9568
138,F,35,working,industry,not commuting,Ho,-563901,-1.20264e+06,9568
139,F,14,student,undef,not commuting,Ho,-563901,-1.20264e+06,9568
140,M,31,working,tradeandmoto,not commuting,Ho,-563901,-1.20264e+06,9568
141,F,68,retired,undef,not commuting,Ho,-563472,-1.20175e+06,5637
142,M,40,working,adminetc,not commuting,Ho,-563472,-1.20175e+06,5637
143,F,57,retired,undef,not commuting,Ho,-563773,-1.20273e+06,8447
144,F,22,student,undef,not commuting,Ho,-563773,-1.20273e+06,8447
145,M,58,working,construction,not commuting,Ho,-564107,-1.20233e+06,862
146,F,57,retired,undef,not commuting,Ho,-564107,-1.20233e+06,862
147,F,71,retired,undef,not commuting,Ho,-565333,-1.20174e+06,2421
148,F,68,retired,undef,not commuting,Ho,-565445,-1.20188e+06,2571
149,F,65,retired,undef,not commuting,Ho,-563681,-1.20225e+06,7520
150,M,66,retired,undef,not commuting,Ho,-563681,-1.20225e+06,7520
151,F,59,working,industry,not commuting,Ho,-563826,-1.20274e+06,8562
152,M,60,working,industry,not commuting,Ho,-563826,-1.20274e+06,8562
153,F,77,retired,undef,not commuting,Ho,-565648,-1.20172e+06,2882
154,M,32,working,construction,not commuting,Ho,-564151,-1.20271e+06,107
155,M,24,student,undef,not commuting,Ho,-565407,-1.20208e+06,6914
156,F,21,working,industry,15 to 30 min,Ho,-565407,-1.20208e+06,6914
157,M,59,retired,undef,not commuting,Ho,-565705,-1.2021e+06,6694
158,F,59,working,tradeandmoto,not commuting,Ho,-565705,-1.2021e+06,6694
159,F,8,student,undef,not commuting,Ho,-564354,-1.20314e+06,5180
160,M,41,working,eatinghousing,not commuting,Ho,-564354,-1.20314e+06,5180
161,F,34,at home,undef,not commuting,Ho,-564354,-1.20314e+06,5180
162,F,6,student,undef,not commuting,Ho,-564354,-1.20314e+06,5180
163,M,31,working,industry,not commuting,Ho,-563378,-1.20159e+06,5946
164,M,38,working,industry,not commuting,Ho,-565830,-1.20221e+06,5021
165,F,25,working,tradeandmoto,45 to 60 mins,Ho,-565830,-1.20221e+06,5021
166,M,67,working,industry,not commuting,Ho,-563720,-1.20166e+06,6431
167,F,67,retired,undef,not commuting,Ho,-563720,-1.20166e+06,6431
168,F,67,retired,undef,not commuting,Ho,-565121,-1.2018e+06,3622
169,M,71,retired,undef,not commuting,Ho,-565121,-1.2018e+06,3622
170,F,66,retired,undef,not commuting,Ho,-564046,-1.20204e+06,1093
171,F,53,at home,undef,not commuting,Ho,-564239,-1.20311e+06,4739
172,M,23,working,eatinghousing,15 to 30 min,Ho,-564239,-1.20311e+06,4739
173,M,51,at home,undef,not commuting,Ho,-564239,-1.20311e+06,4739
174,M,77,retired,undef,not commuting,Ho,-563687,-1.2019e+06,6331
175,M,67,retired,undef,not commuting,Ho,-564027,-1.20218e+06,1389
176,F,65,retired,undef,not commuting,Ho,-564027,-1.20218e+06,1389
177,M,44,working,industry,not commuting,Ho,-564891,-1.20162e+06,3893
178,F,42,at home,undef,not commuting,Ho,-564891,-1.20162e+06,3893
179,M,19,student,undef,not commuting,Ho,-564891,-1.20162e+06,3893
180,F,63,retired,undef,not commuting,Ho,-564694,-1.20174e+06,10238
181,M,67,retired,undef,not commuting,Ho,-564694,-1.20174e+06,10238
182,M,69,retired,undef,not commuting,Ho,-563383,-1.20153e+06,6055
183,M,61,retired,undef,not commuting,Ho,-563735,-1.20289e+06,9034
184,M,18,working,adminetc,not commuting,Ho,-563735,-1.20289e+06,9034
185,F,41,at home,undef,not commuting,Ho,-563735,-1.20289e+06,9034
186,F,12,student,undef,not commuting,Ho,-563735,-1.20289e+06,9034
187,M,60,retired,undef,not commuting,Ho,-564694,-1.20265e+06,6984
188,F,60,retired,undef,not commuting,Ho,-564694,-1.20265e+06,6984
189,F,55,retired,undef,not commuting,Ho,-564565,-1.20184e+06,4834
190,M,19,student,undef,not commuting,Ho,-564565,-1.20184e+06,4834
191,F,34,working,it,not commuting,Ho,-564565,-1.20184e+06,4834
192,M,45,working,transportation,not commuting,Ho,-563414,-1.20148e+06,6196
193,F,56,retired,undef,not commuting,Ho,-563414,-1.20148e+06,6196
194,F,20,working,tradeandmoto,not commuting,Ho,-563414,-1.20148e+06,6196
195,F,61,working,tradeandmoto,not commuting,Ho,-563661,-1.20221e+06,7444
196,M,59,retired,undef,not commuting,Ho,-563616,-1.20226e+06,7616
197,F,57,retired,undef,not commuting,Ho,-563616,-1.20226e+06,7616
198,M,60,retired,undef,not commuting,Ho,-563336,-1.20152e+06,6084
199,M,27,working,adminetc,not commuting,Ho,-563336,-1.20152e+06,6084
200,M,63,working,tradeandmoto,not commuting,Ho,-563477,-1.20168e+06,5733
201,F,64,retired,undef,not commuting,Ho,-563477,-1.20168e+06,5733
202,F,59,retired,undef,not commuting,Ho,-563933,-1.20254e+06,5105
203,F,0,at home,undef,not commuting,Ho,-563933,-1.20254e+06,5105
204,F,29,at home,undef,not commuting,Ho,-563933,-1.20254e+06,5105
205,F,6,student,undef,not commuting,Ho,-563933,-1.20254e+06,5105
206,M,58,working,education,not commuting,Ho,-563933,-1.20254e+06,5105
207,M,37,at home,undef,not commuting,Ho,-563933,-1.20254e+06,5105
208,M,61,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5486
209,F,58,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5486
210,M,64,working,banks,not commuting,Ho,-565688,-1.20215e+06,8970
211,F,65,retired,undef,not commuting,Ho,-565688,-1.20215e+06,8970
212,M,31,working,adminetc,not commuting,Ho,-565675,-1.20166e+06,3182
213,F,62,retired,undef,not commuting,Ho,-563683,-1.20242e+06,7756
214,M,20,working,health,not commuting,Ho,-563796,-1.20251e+06,10058
215,F,46,at home,undef,not commuting,Ho,-563796,-1.20251e+06,10058
216,M,22,working,industry,not commuting,Ho,-563796,-1.20251e+06,10058
217,M,35,working,eatinghousing,not commuting,Ho,-564646,-1.20256e+06,1440
218,F,47,at home,undef,not commuting,Ho,-565610,-1.20171e+06,2396
219,M,66,retired,undef,not commuting,Ho,-564296,-1.20194e+06,1674
220,F,61,retired,undef,not commuting,Ho,-564296,-1.20194e+06,1674
221,M,34,working,tradeandmoto,not commuting,Ho,-563132,-1.20184e+06,7425
222,M,75,retired,undef,not commuting,Ho,-565578,-1.20216e+06,6854
223,F,70,retired,undef,not commuting,Ho,-565578,-1.20216e+06,6854
224,F,39,at home,undef,not commuting,Ho,-563513,-1.20181e+06,10461
225,M,14,student,undef,not commuting,Ho,-563513,-1.20181e+06,10461
226,F,16,student,undef,30 to 45 mins,Ho,-563513,-1.20181e+06,10461
227,F,68,retired,undef,not commuting,Ho,-564301,-1.20308e+06,27
228,M,63,retired,undef,not commuting,Ho,-564301,-1.20308e+06,27
229,M,44,working,education,not commuting,Ho,-563521,-1.20176e+06,5611
230,F,65,retired,undef,not commuting,Ho,-563521,-1.20176e+06,5611
231,M,40,working,publicsector,not commuting,Ho,-563687,-1.2019e+06,6332
232,M,15,student,undef,not commuting,Ho,-563687,-1.2019e+06,6332
233,F,38,working,banks,not commuting,Ho,-563687,-1.2019e+06,6332
234,M,9,student,undef,not commuting,Ho,-563687,-1.2019e+06,6332
235,M,9,student,undef,not commuting,Ho,-565318,-1.20152e+06,3122
236,M,12,student,undef,not commuting,Ho,-565318,-1.20152e+06,3122
237,F,42,working,industry,45 to 60 mins,Ho,-565318,-1.20152e+06,3122
238,M,68,retired,undef,not commuting,Ho,-564169,-1.20197e+06,1560
239,F,63,retired,undef,not commuting,Ho,-564169,-1.20197e+06,1560
240,F,29,at home,undef,not commuting,Ho,-563957,-1.20198e+06,2475
241,F,55,working,tradeandmoto,not commuting,Ho,-563336,-1.20152e+06,6128
242,M,59,retired,undef,not commuting,Ho,-563336,-1.20152e+06,6128
243,F,84,retired,undef,not commuting,Ho,-563824,-1.20259e+06,9892
244,F,26,working,construction,30 to 45 mins,Ho,-563665,-1.20195e+06,6356
245,M,55,working,industry,not commuting,Ho,-564427,-1.20207e+06,857
246,F,87,retired,undef,not commuting,Ho,-563773,-1.20273e+06,8439
247,F,39,working,transportation,not commuting,Ho,-564352,-1.20201e+06,1254
248,M,40,at home,undef,not commuting,Ho,-564352,-1.20201e+06,1254
249,M,15,student,undef,15 to 30 min,Ho,-564352,-1.20201e+06,1254
250,M,14,student,undef,not commuting,Ho,-564352,-1.20201e+06,1254
251,F,66,retired,undef,not commuting,Ho,-564966,-1.20188e+06,4219
252,M,64,retired,undef,not commuting,Ho,-564966,-1.20188e+06,4219
253,M,22,at home,undef,not commuting,Ho,-564966,-1.20188e+06,4219
254,M,62,retired,undef,not commuting,Ho,-564867,-1.20168e+06,4026
255,F,31,working,industry,not commuting,Ho,-564867,-1.20168e+06,4026
256,F,63,retired,undef,not commuting,Ho,-564867,-1.20168e+06,4026
257,M,31,working,health,not commuting,Ho,-565390,-1.20165e+06,2754
258,M,31,working,publicsector,not commuting,Ho,-565390,-1.20165e+06,2754
259,M,34,working,industry,not commuting,Ho,-565390,-1.20165e+06,2754
260,F,36,at home,undef,not commuting,Ho,-563912,-1.20251e+06,5109
261,F,58,working,industry,not commuting,Ho,-564239,-1.20311e+06,4719
262,M,34,working,construction,not commuting,Ho,-564239,-1.20311e+06,4719
263,F,27,working,tradeandmoto,not commuting,Ho,-565642,-1.20212e+06,3408
264,M,28,working,transportation,not commuting,Ho,-565642,-1.20212e+06,3408
265,F,25,at home,undef,not commuting,Ho,-565642,-1.20212e+06,3408
266,M,52,working,transportation,less than 15min,Ho,-564214,-1.20247e+06,429
267,F,54,working,publicsector,not commuting,Ho,-562673,-1.19906e+06,4544
268,M,60,working,industry,not commuting,Ho,-562673,-1.19906e+06,4544
269,F,19,at home,undef,not commuting,Ho,-562673,-1.19906e+06,4544
270,M,59,retired,undef,not commuting,Ho,-564115,-1.20196e+06,1330
271,F,58,retired,undef,not commuting,Ho,-564115,-1.20196e+06,1330
272,F,57,retired,undef,not commuting,Ho,-565790,-1.20225e+06,4950
273,M,61,retired,undef,not commuting,Ho,-565790,-1.20225e+06,4950
274,M,37,working,industry,not commuting,Ho,-565790,-1.20225e+06,4950
275,M,28,at home,undef,not commuting,Ho,-563751,-1.20307e+06,9270
276,F,51,working,tradeandmoto,15 to 30 min,Ho,-563751,-1.20307e+06,9270
277,F,54,working,transportation,not commuting,Ho,-564206,-1.20304e+06,5132
278,M,55,working,publicsector,not commuting,Ho,-564206,-1.20304e+06,5132
279,F,59,retired,undef,not commuting,Ho,-564476,-1.2028e+06,5348
280,M,62,retired,undef,not commuting,Ho,-563819,-1.20271e+06,8531
281,M,62,working,banks,not commuting,Ho,-563796,-1.20251e+06,10095
282,F,60,working,education,not commuting,Ho,-563796,-1.20251e+06,10095
283,M,32,working,industry,not commuting,Ho,-563796,-1.20251e+06,10095
284,M,65,retired,undef,not commuting,Ho,-564410,-1.20182e+06,2103
285,F,64,retired,undef,not commuting,Ho,-563708,-1.20295e+06,9157
286,M,66,retired,undef,not commuting,Ho,-563708,-1.20295e+06,9157
287,F,61,retired,undef,not commuting,Ho,-565502,-1.20163e+06,6703
288,F,56,working,industry,not commuting,Ho,-563773,-1.20273e+06,8479
289,F,57,working,tradeandmoto,30 to 45 mins,Ho,-565729,-1.20204e+06,6681
290,M,24,working,publicsector,30 to 45 mins,Ho,-565729,-1.20204e+06,6681
291,F,56,retired,undef,not commuting,Ho,-564263,-1.20211e+06,3953
292,M,59,working,tradeandmoto,not commuting,Ho,-564263,-1.20211e+06,3953
293,M,73,retired,undef,not commuting,Ho,-564628,-1.20234e+06,6957
294,F,70,retired,undef,not commuting,Ho,-564628,-1.20234e+06,6957
295,M,40,working,publicsector,not commuting,Ho,-564628,-1.20234e+06,6957
296,M,34,working,publicsector,not commuting,Ho,-564867,-1.20168e+06,3986
297,F,5,at home,undef,not commuting,Ho,-564867,-1.20168e+06,3986
298,M,4,at home,undef,not commuting,Ho,-564867,-1.20168e+06,3986
299,F,31,working,adminetc,not commuting,Ho,-564867,-1.20168e+06,3986
300,F,49,working,industry,not commuting,Ho,-563689,-1.20261e+06,8027
301,M,12,student,undef,not commuting,Ho,-563689,-1.20261e+06,8027
302,M,55,retired,undef,not commuting,Ho,-563689,-1.20261e+06,8027
303,F,70,retired,undef,not commuting,Ho,-563091,-1.20175e+06,7429
304,M,56,retired,undef,not commuting,Ho,-564355,-1.20154e+06,10818
305,F,55,retired,undef,not commuting,Ho,-564355,-1.20154e+06,10818
306,F,79,retired,undef,not commuting,Ho,-564005,-1.20261e+06,84
307,M,48,working,industry,not commuting,Ho,-564005,-1.20261e+06,84
308,M,58,working,adminetc,not commuting,Ho,-564534,-1.20214e+06,1272
309,F,62,retired,undef,not commuting,Ho,-564534,-1.20214e+06,1272
310,M,48,working,publicsector,not commuting,Ho,-564261,-1.20203e+06,10777
311,M,76,retired,undef,not commuting,Ho,-564261,-1.20203e+06,10777
312,M,62,retired,undef,not commuting,Ho,-564797,-1.20166e+06,1044
313,F,62,retired,undef,not commuting,Ho,-564797,-1.20166e+06,1044
314,M,39,working,industry,not commuting,Ho,-565464,-1.20175e+06,2618
315,M,9,student,undef,not commuting,Ho,-565464,-1.20175e+06,2618
316,F,34,working,industry,not commuting,Ho,-565464,-1.20175e+06,2618
317,M,33,working,industry,15 to 30 min,Ho,-563616,-1.20226e+06,7625
318,M,47,working,publicsector,not commuting,Ho,-563978,-1.20353e+06,548
319,F,47,at home,undef,not commuting,Ho,-563978,-1.20353e+06,548
320,M,22,student,undef,30 to 45 mins,Ho,-563653,-1.2025e+06,7913
321,M,19,student,undef,not commuting,Ho,-563653,-1.2025e+06,7913
322,F,27,at home,undef,not commuting,Ho,-563867,-1.20197e+06,916
323,M,32,working,adminetc,not commuting,Ho,-563867,-1.20197e+06,916
324,M,32,working,industry,not commuting,Ho,-565417,-1.20205e+06,3460
325,F,64,retired,undef,not commuting,Ho,-565417,-1.20205e+06,3460
326,M,67,retired,undef,not commuting,Ho,-565417,-1.20205e+06,3460
327,M,33,working,industry,not commuting,Ho,-562673,-1.19906e+06,4554
328,F,64,retired,undef,not commuting,Ho,-562673,-1.19906e+06,4554
329,F,35,working,health,not commuting,Ho,-565234,-1.20179e+06,3515
330,F,13,student,undef,not commuting,Ho,-565234,-1.20179e+06,3515
331,F,52,working,industry,not commuting,Ho,-565642,-1.20212e+06,3407
332,F,14,student,undef,not commuting,Ho,-565642,-1.20212e+06,3407
333,M,51,working,publicsector,not commuting,Ho,-565642,-1.20212e+06,3407
334,F,21,at home,undef,not commuting,Ho,-563708,-1.20295e+06,9127
335,M,47,working,transportation,not commuting,Ho,-563708,-1.20295e+06,9127
336,F,42,working,health,not commuting,Ho,-563708,-1.20295e+06,9127
337,F,17,student,undef,not commuting,Ho,-563708,-1.20295e+06,9127
338,M,60,retired,undef,not commuting,Ho,-566068,-1.20383e+06,9500
339,F,57,retired,undef,not commuting,Ho,-566068,-1.20383e+06,9500
340,M,27,working,industry,not commuting,Ho,-564299,-1.20321e+06,5255
341,F,34,working,industry,not commuting,Ho,-564587,-1.20184e+06,3005
342,F,2,at home,undef,not commuting,Ho,-564587,-1.20184e+06,3005
343,F,6,student,undef,not commuting,Ho,-564587,-1.20184e+06,3005
344,F,12,student,undef,not commuting,Ho,-564587,-1.20184e+06,3005
345,M,12,student,undef,not commuting,Ho,-564584,-1.20153e+06,10549
346,F,34,at home,undef,not commuting,Ho,-564584,-1.20153e+06,10549
347,F,13,student,undef,not commuting,Ho,-564584,-1.20153e+06,10549
348,M,7,student,undef,not commuting,Ho,-564891,-1.20162e+06,3888
349,F,32,working,industry,15 to 30 min,Ho,-564891,-1.20162e+06,3888
350,M,25,at home,undef,not commuting,Ho,-563998,-1.20259e+06,652
351,F,47,at home,undef,not commuting,Ho,-563998,-1.20259e+06,652
352,M,47,working,banks,not commuting,Ho,-563998,-1.20259e+06,652
353,F,38,working,tradeandmoto,not commuting,Ho,-563365,-1.20146e+06,6223
354,M,23,student,undef,not commuting,Ho,-563477,-1.20168e+06,5710
355,F,46,working,industry,not commuting,Ho,-563477,-1.20168e+06,5710
356,F,42,working,construction,not commuting,Ho,-563735,-1.20289e+06,9021
357,F,21,student,undef,not commuting,Ho,-563735,-1.20289e+06,9021
358,F,20,student,undef,not commuting,Ho,-563735,-1.20289e+06,9021
359,M,44,working,industry,not commuting,Ho,-563735,-1.20289e+06,9021
360,M,43,at home,undef,not commuting,Ho,-564256,-1.20169e+06,1117
361,F,63,retired,undef,not commuting,Ho,-564256,-1.20169e+06,1117
362,M,52,working,industry,not commuting,Ho,-564256,-1.20169e+06,1117
363,M,12,student,undef,not commuting,Ho,-565111,-1.20165e+06,10172
364,F,8,student,undef,not commuting,Ho,-565111,-1.20165e+06,10172
365,M,44,working,tradeandmoto,not commuting,Ho,-565111,-1.20165e+06,10172
366,F,64,retired,undef,not commuting,Ho,-563788,-1.20227e+06,10313
367,M,73,retired,undef,not commuting,Ho,-563788,-1.20227e+06,10313
368,M,17,student,undef,not commuting,Ho,-565761,-1.20173e+06,3224
369,M,49,working,publicsector,not commuting,Ho,-565761,-1.20173e+06,3224
370,F,41,at home,undef,not commuting,Ho,-565761,-1.20173e+06,3224
371,M,19,student,undef,not commuting,Ho,-565761,-1.20173e+06,3224
372,F,22,student,undef,not commuting,Ho,-564066,-1.2023e+06,720
373,F,44,working,tradeandmoto,not commuting,Ho,-564066,-1.2023e+06,720
374,M,50,working,industry,not commuting,Ho,-564066,-1.2023e+06,720
