id,sex, age, ecactivity, worktype, commutetime, town, x, y, apartment
125,F,71,retired,undef,not commuting,Ho,-565688,-1.20215e+06,8974
126,M,27,working,tradeandmoto,not commuting,Ho,-563614,-1.20255e+06,8087
127,F,28,at home,undef,not commuting,Ho,-563614,-1.20255e+06,8087
128,M,26,at home,undef,not commuting,Ho,-565688,-1.20215e+06,8977
129,M,65,retired,undef,not commuting,Ho,-565688,-1.20215e+06,8977
130,F,59,retired,undef,not commuting,Ho,-563687,-1.2019e+06,6310
131,M,58,working,adminetc,not commuting,Ho,-563687,-1.2019e+06,6310
132,M,38,working,industry,not commuting,Ho,-565342,-1.20157e+06,2672
133,F,27,at home,undef,not commuting,Ho,-565342,-1.20157e+06,2672
134,F,5,at home,undef,not commuting,Ho,-565342,-1.20157e+06,2672
135,F,26,working,industry,not commuting,Ho,-565646,-1.20203e+06,3315
136,M,27,working,it,30 to 45 mins,Ho,-565646,-1.20203e+06,3315
137,M,1,at home,undef,not commuting,Ho,-563841,-1.20291e+06,9756
138,F,35,working,industry,not commuting,Ho,-563841,-1.20291e+06,9756
139,F,14,student,undef,not commuting,Ho,-563841,-1.20291e+06,9756
140,M,31,working,tradeandmoto,not commuting,Ho,-563841,-1.20291e+06,9756
141,F,68,retired,undef,not commuting,Ho,-563700,-1.20264e+06,8284
142,M,40,working,adminetc,not commuting,Ho,-563700,-1.20264e+06,8284
143,F,57,retired,undef,not commuting,Ho,-565830,-1.20221e+06,4997
144,F,22,student,undef,not commuting,Ho,-565830,-1.20221e+06,4997
145,M,58,working,construction,not commuting,Ho,-563383,-1.20153e+06,5998
146,F,57,retired,undef,not commuting,Ho,-563383,-1.20153e+06,5998
147,F,71,retired,undef,not commuting,Ho,-564178,-1.20169e+06,1958
148,F,68,retired,undef,not commuting,Ho,-564791,-1.20187e+06,4343
149,F,65,retired,undef,not commuting,Ho,-564636,-1.20262e+06,5405
150,M,66,retired,undef,not commuting,Ho,-564636,-1.20262e+06,5405
151,F,59,working,industry,not commuting,Ho,-563708,-1.20295e+06,9167
152,M,60,working,industry,not commuting,Ho,-563708,-1.20295e+06,9167
153,F,77,retired,undef,not commuting,Ho,-565459,-1.20184e+06,2600
154,M,32,working,construction,not commuting,Ho,-563700,-1.20264e+06,8268
155,M,24,student,undef,not commuting,Ho,-563616,-1.20226e+06,7615
156,F,21,working,industry,15 to 30 min,Ho,-563616,-1.20226e+06,7615
157,M,59,retired,undef,not commuting,Ho,-563644,-1.20265e+06,8831
158,F,59,working,tradeandmoto,not commuting,Ho,-563644,-1.20265e+06,8831
159,F,8,student,undef,not commuting,Ho,-564710,-1.20222e+06,1297
160,M,41,working,eatinghousing,not commuting,Ho,-564710,-1.20222e+06,1297
161,F,34,at home,undef,not commuting,Ho,-564710,-1.20222e+06,1297
162,F,6,student,undef,not commuting,Ho,-564710,-1.20222e+06,1297
163,M,31,working,industry,not commuting,Ho,-564867,-1.20168e+06,4003
164,M,38,working,industry,not commuting,Ho,-563614,-1.20255e+06,8070
165,F,25,working,tradeandmoto,45 to 60 mins,Ho,-563614,-1.20255e+06,8070
166,M,67,working,industry,not commuting,Ho,-565270,-1.20172e+06,2513
167,F,67,retired,undef,not commuting,Ho,-565270,-1.20172e+06,2513
168,F,67,retired,undef,not commuting,Ho,-564241,-1.20266e+06,10558
169,M,71,retired,undef,not commuting,Ho,-564241,-1.20266e+06,10558
170,F,66,retired,undef,not commuting,Ho,-564070,-1.2022e+06,847
171,F,53,at home,undef,not commuting,Ho,-564584,-1.20153e+06,10536
172,M,23,working,eatinghousing,15 to 30 min,Ho,-564584,-1.20153e+06,10536
173,M,51,at home,undef,not commuting,Ho,-564584,-1.20153e+06,10536
174,M,77,retired,undef,not commuting,Ho,-564039,-1.20328e+06,10676
175,M,67,retired,undef,not commuting,Ho,-564636,-1.20262e+06,5404
176,F,65,retired,undef,not commuting,Ho,-564636,-1.20262e+06,5404
177,M,44,working,industry,not commuting,Ho,-562943,-1.20169e+06,5071
178,F,42,at home,undef,not commuting,Ho,-562943,-1.20169e+06,5071
179,M,19,student,undef,not commuting,Ho,-562943,-1.20169e+06,5071
180,F,63,retired,undef,not commuting,Ho,-564447,-1.203e+06,8951
181,M,67,retired,undef,not commuting,Ho,-564447,-1.203e+06,8951
182,M,69,retired,undef,not commuting,Ho,-564462,-1.20273e+06,1414
183,M,61,retired,undef,not commuting,Ho,-564373,-1.2023e+06,602
184,M,18,working,adminetc,not commuting,Ho,-564373,-1.2023e+06,602
185,F,41,at home,undef,not commuting,Ho,-564373,-1.2023e+06,602
186,F,12,student,undef,not commuting,Ho,-564373,-1.2023e+06,602
187,M,60,retired,undef,not commuting,Ho,-564457,-1.2023e+06,7286
188,F,60,retired,undef,not commuting,Ho,-564457,-1.2023e+06,7286
189,F,55,retired,undef,not commuting,Ho,-565203,-1.2016e+06,4702
190,M,19,student,undef,not commuting,Ho,-565203,-1.2016e+06,4702
191,F,34,working,it,not commuting,Ho,-565203,-1.2016e+06,4702
192,M,45,working,transportation,not commuting,Ho,-565568,-1.20162e+06,3156
193,F,56,retired,undef,not commuting,Ho,-565568,-1.20162e+06,3156
194,F,20,working,tradeandmoto,not commuting,Ho,-565568,-1.20162e+06,3156
195,F,61,working,tradeandmoto,not commuting,Ho,-563825,-1.20301e+06,5157
196,M,59,retired,undef,not commuting,Ho,-564288,-1.20326e+06,8136
197,F,57,retired,undef,not commuting,Ho,-564288,-1.20326e+06,8136
198,M,60,retired,undef,not commuting,Ho,-563383,-1.20153e+06,6035
199,M,27,working,adminetc,not commuting,Ho,-563383,-1.20153e+06,6035
200,M,63,working,tradeandmoto,not commuting,Ho,-563741,-1.20305e+06,9230
201,F,64,retired,undef,not commuting,Ho,-563741,-1.20305e+06,9230
202,F,59,retired,undef,not commuting,Ho,-563613,-1.2018e+06,5514
203,F,0,at home,undef,not commuting,Ho,-563613,-1.2018e+06,5514
204,F,29,at home,undef,not commuting,Ho,-563613,-1.2018e+06,5514
205,F,6,student,undef,not commuting,Ho,-563613,-1.2018e+06,5514
206,M,58,working,education,not commuting,Ho,-563613,-1.2018e+06,5514
207,M,37,at home,undef,not commuting,Ho,-563613,-1.2018e+06,5514
208,M,61,retired,undef,not commuting,Ho,-562961,-1.2017e+06,5070
209,F,58,retired,undef,not commuting,Ho,-562961,-1.2017e+06,5070
210,M,64,working,banks,not commuting,Ho,-565502,-1.20163e+06,6700
211,F,65,retired,undef,not commuting,Ho,-565502,-1.20163e+06,6700
212,M,31,working,adminetc,not commuting,Ho,-565761,-1.20173e+06,3227
213,F,62,retired,undef,not commuting,Ho,-565191,-1.20191e+06,2047
214,M,20,working,health,not commuting,Ho,-565610,-1.20171e+06,2394
215,F,46,at home,undef,not commuting,Ho,-565610,-1.20171e+06,2394
216,M,22,working,industry,not commuting,Ho,-565610,-1.20171e+06,2394
217,M,35,working,eatinghousing,not commuting,Ho,-563679,-1.20256e+06,7974
218,F,47,at home,undef,not commuting,Ho,-564950,-1.20113e+06,247
219,M,66,retired,undef,not commuting,Ho,-564563,-1.20296e+06,205
220,F,61,retired,undef,not commuting,Ho,-564563,-1.20296e+06,205
221,M,34,working,tradeandmoto,not commuting,Ho,-564891,-1.20162e+06,3898
222,M,75,retired,undef,not commuting,Ho,-564066,-1.2023e+06,717
223,F,70,retired,undef,not commuting,Ho,-564066,-1.2023e+06,717
224,F,39,at home,undef,not commuting,Ho,-565245,-1.20193e+06,2159
225,M,14,student,undef,not commuting,Ho,-565245,-1.20193e+06,2159
226,F,16,student,undef,30 to 45 mins,Ho,-565245,-1.20193e+06,2159
227,F,68,retired,undef,not commuting,Ho,-564913,-1.20156e+06,3865
228,M,63,retired,undef,not commuting,Ho,-564913,-1.20156e+06,3865
229,M,44,working,education,not commuting,Ho,-564461,-1.20286e+06,5380
230,F,65,retired,undef,not commuting,Ho,-564461,-1.20286e+06,5380
231,M,40,working,publicsector,not commuting,Ho,-564694,-1.20265e+06,7023
232,M,15,student,undef,not commuting,Ho,-564694,-1.20265e+06,7023
233,F,38,working,banks,not commuting,Ho,-564694,-1.20265e+06,7023
234,M,9,student,undef,not commuting,Ho,-564694,-1.20265e+06,7023
235,M,9,student,undef,not commuting,Ho,-563915,-1.2027e+06,9670
236,M,12,student,undef,not commuting,Ho,-563915,-1.2027e+06,9670
237,F,42,working,industry,45 to 60 mins,Ho,-563915,-1.2027e+06,9670
238,M,68,retired,undef,not commuting,Ho,-563811,-1.20256e+06,9723
239,F,63,retired,undef,not commuting,Ho,-563811,-1.20256e+06,9723
240,F,29,at home,undef,not commuting,Ho,-563667,-1.20164e+06,6528
241,F,55,working,tradeandmoto,not commuting,Ho,-564111,-1.20225e+06,9922
242,M,59,retired,undef,not commuting,Ho,-564111,-1.20225e+06,9922
243,F,84,retired,undef,not commuting,Ho,-565574,-1.20211e+06,3445
244,F,26,working,construction,30 to 45 mins,Ho,-563938,-1.20204e+06,1834
245,M,55,working,industry,not commuting,Ho,-565295,-1.20155e+06,2699
246,F,87,retired,undef,not commuting,Ho,-563659,-1.20235e+06,7701
247,F,39,working,transportation,not commuting,Ho,-563712,-1.2029e+06,9053
248,M,40,at home,undef,not commuting,Ho,-563712,-1.2029e+06,9053
249,M,15,student,undef,15 to 30 min,Ho,-563712,-1.2029e+06,9053
250,M,14,student,undef,not commuting,Ho,-563712,-1.2029e+06,9053
251,F,66,retired,undef,not commuting,Ho,-563433,-1.20161e+06,5885
252,M,64,retired,undef,not commuting,Ho,-563433,-1.20161e+06,5885
253,M,22,at home,undef,not commuting,Ho,-563433,-1.20161e+06,5885
254,M,62,retired,undef,not commuting,Ho,-564413,-1.2012e+06,10705
255,F,31,working,industry,not commuting,Ho,-564413,-1.2012e+06,10705
256,F,63,retired,undef,not commuting,Ho,-564413,-1.2012e+06,10705
257,M,31,working,health,not commuting,Ho,-564989,-1.20166e+06,3742
258,M,31,working,publicsector,not commuting,Ho,-564989,-1.20166e+06,3742
259,M,34,working,industry,not commuting,Ho,-564989,-1.20166e+06,3742
260,F,36,at home,undef,not commuting,Ho,-563665,-1.20195e+06,6378
261,F,58,working,industry,not commuting,Ho,-564636,-1.20262e+06,5447
262,M,34,working,construction,not commuting,Ho,-564636,-1.20262e+06,5447
263,F,27,working,tradeandmoto,not commuting,Ho,-564190,-1.20234e+06,1032
264,M,28,working,transportation,not commuting,Ho,-564190,-1.20234e+06,1032
265,F,25,at home,undef,not commuting,Ho,-564190,-1.20234e+06,1032
266,M,52,working,transportation,less than 15min,Ho,-564277,-1.20166e+06,2921
267,F,54,working,publicsector,not commuting,Ho,-564972,-1.20186e+06,4259
268,M,60,working,industry,not commuting,Ho,-564972,-1.20186e+06,4259
269,F,19,at home,undef,not commuting,Ho,-564972,-1.20186e+06,4259
270,M,59,retired,undef,not commuting,Ho,-563773,-1.20301e+06,9350
271,F,58,retired,undef,not commuting,Ho,-563773,-1.20301e+06,9350
272,F,57,retired,undef,not commuting,Ho,-563802,-1.20179e+06,2433
273,M,61,retired,undef,not commuting,Ho,-563802,-1.20179e+06,2433
274,M,37,working,industry,not commuting,Ho,-563802,-1.20179e+06,2433
275,M,28,at home,undef,not commuting,Ho,-564917,-1.20184e+06,4169
276,F,51,working,tradeandmoto,15 to 30 min,Ho,-564917,-1.20184e+06,4169
277,F,54,working,transportation,not commuting,Ho,-563659,-1.20235e+06,7730
278,M,55,working,publicsector,not commuting,Ho,-563659,-1.20235e+06,7730
279,F,59,retired,undef,not commuting,Ho,-565835,-1.20176e+06,7161
280,M,62,retired,undef,not commuting,Ho,-563741,-1.20305e+06,9243
281,M,62,working,banks,not commuting,Ho,-565234,-1.20179e+06,3495
282,F,60,working,education,not commuting,Ho,-565234,-1.20179e+06,3495
283,M,32,working,industry,not commuting,Ho,-565234,-1.20179e+06,3495
284,M,65,retired,undef,not commuting,Ho,-563971,-1.20262e+06,10834
285,F,64,retired,undef,not commuting,Ho,-563951,-1.20251e+06,5116
286,M,66,retired,undef,not commuting,Ho,-563951,-1.20251e+06,5116
287,F,61,retired,undef,not commuting,Ho,-563644,-1.20265e+06,8829
288,F,56,working,industry,not commuting,Ho,-562750,-1.20168e+06,8120
289,F,57,working,tradeandmoto,30 to 45 mins,Ho,-564628,-1.20269e+06,7066
290,M,24,working,publicsector,30 to 45 mins,Ho,-564628,-1.20269e+06,7066
291,F,56,retired,undef,not commuting,Ho,-564511,-1.20229e+06,10130
292,M,59,working,tradeandmoto,not commuting,Ho,-564511,-1.20229e+06,10130
293,M,73,retired,undef,not commuting,Ho,-563575,-1.20175e+06,6557
294,F,70,retired,undef,not commuting,Ho,-563575,-1.20175e+06,6557
295,M,40,working,publicsector,not commuting,Ho,-563575,-1.20175e+06,6557
296,M,34,working,publicsector,not commuting,Ho,-565581,-1.20166e+06,2331
297,F,5,at home,undef,not commuting,Ho,-565581,-1.20166e+06,2331
298,M,4,at home,undef,not commuting,Ho,-565581,-1.20166e+06,2331
299,F,31,working,adminetc,not commuting,Ho,-565581,-1.20166e+06,2331
300,F,49,working,industry,not commuting,Ho,-563513,-1.20181e+06,10481
301,M,12,student,undef,not commuting,Ho,-563513,-1.20181e+06,10481
302,M,55,retired,undef,not commuting,Ho,-563513,-1.20181e+06,10481
303,F,70,retired,undef,not commuting,Ho,-563383,-1.20153e+06,6036
304,M,56,retired,undef,not commuting,Ho,-563819,-1.20271e+06,8526
305,F,55,retired,undef,not commuting,Ho,-563819,-1.20271e+06,8526
306,F,79,retired,undef,not commuting,Ho,-564694,-1.20265e+06,7027
307,M,48,working,industry,not commuting,Ho,-564694,-1.20265e+06,7027
308,M,58,working,adminetc,not commuting,Ho,-564005,-1.20261e+06,79
309,F,62,retired,undef,not commuting,Ho,-564005,-1.20261e+06,79
310,M,48,working,publicsector,not commuting,Ho,-563827,-1.20261e+06,9871
311,M,76,retired,undef,not commuting,Ho,-563827,-1.20261e+06,9871
312,M,62,retired,undef,not commuting,Ho,-564867,-1.20168e+06,4011
313,F,62,retired,undef,not commuting,Ho,-564867,-1.20168e+06,4011
314,M,39,working,industry,not commuting,Ho,-566068,-1.20383e+06,9503
315,M,9,student,undef,not commuting,Ho,-566068,-1.20383e+06,9503
316,F,34,working,industry,not commuting,Ho,-566068,-1.20383e+06,9503
317,M,33,working,industry,15 to 30 min,Ho,-564414,-1.20218e+06,672
318,M,47,working,publicsector,not commuting,Ho,-563872,-1.20201e+06,896
319,F,47,at home,undef,not commuting,Ho,-563872,-1.20201e+06,896
320,M,22,student,undef,30 to 45 mins,Ho,-563811,-1.20256e+06,9728
321,M,19,student,undef,not commuting,Ho,-563811,-1.20256e+06,9728
322,F,27,at home,undef,not commuting,Ho,-563741,-1.20305e+06,9228
323,M,32,working,adminetc,not commuting,Ho,-563741,-1.20305e+06,9228
324,M,32,working,industry,not commuting,Ho,-563667,-1.20164e+06,6489
325,F,64,retired,undef,not commuting,Ho,-563667,-1.20164e+06,6489
326,M,67,retired,undef,not commuting,Ho,-563667,-1.20164e+06,6489
327,M,33,working,industry,not commuting,Ho,-565823,-1.20216e+06,8188
328,F,64,retired,undef,not commuting,Ho,-565823,-1.20216e+06,8188
329,F,35,working,health,not commuting,Ho,-564389,-1.20249e+06,7238
330,F,13,student,undef,not commuting,Ho,-564389,-1.20249e+06,7238
331,F,52,working,industry,not commuting,Ho,-563681,-1.20225e+06,7520
332,F,14,student,undef,not commuting,Ho,-563681,-1.20225e+06,7520
333,M,51,working,publicsector,not commuting,Ho,-563681,-1.20225e+06,7520
334,F,21,at home,undef,not commuting,Ho,-564389,-1.20249e+06,7247
335,M,47,working,transportation,not commuting,Ho,-564389,-1.20249e+06,7247
336,F,42,working,health,not commuting,Ho,-564389,-1.20249e+06,7247
337,F,17,student,undef,not commuting,Ho,-564389,-1.20249e+06,7247
338,M,60,retired,undef,not commuting,Ho,-564051,-1.20295e+06,537
339,F,57,retired,undef,not commuting,Ho,-564051,-1.20295e+06,537
340,M,100,working,industry,not commuting,Ho,-564169,-1.20197e+06,1567
341,F,34,working,industry,not commuting,Ho,-563680,-1.20285e+06,8799
342,F,2,at home,undef,not commuting,Ho,-563680,-1.20285e+06,8799
343,F,6,student,undef,not commuting,Ho,-563680,-1.20285e+06,8799
344,F,12,student,undef,not commuting,Ho,-563680,-1.20285e+06,8799
345,M,12,student,undef,not commuting,Ho,-564189,-1.20283e+06,157
346,F,34,at home,undef,not commuting,Ho,-564189,-1.20283e+06,157
347,F,13,student,undef,not commuting,Ho,-564189,-1.20283e+06,157
348,M,7,student,undef,not commuting,Ho,-563775,-1.20191e+06,2139
349,F,32,working,industry,15 to 30 min,Ho,-563775,-1.20191e+06,2139
350,M,25,at home,undef,not commuting,Ho,-563885,-1.20292e+06,9476
351,F,47,at home,undef,not commuting,Ho,-563885,-1.20292e+06,9476
352,M,47,working,banks,not commuting,Ho,-563885,-1.20292e+06,9476
353,F,38,working,tradeandmoto,not commuting,Ho,-563365,-1.20146e+06,6225
354,M,23,student,undef,not commuting,Ho,-565270,-1.20172e+06,2509
355,F,46,working,industry,not commuting,Ho,-565270,-1.20172e+06,2509
356,F,42,working,construction,not commuting,Ho,-565952,-1.20229e+06,10671
357,F,21,student,undef,not commuting,Ho,-565952,-1.20229e+06,10671
358,F,20,student,undef,not commuting,Ho,-565952,-1.20229e+06,10671
359,M,44,working,industry,not commuting,Ho,-565952,-1.20229e+06,10671
360,M,43,at home,undef,not commuting,Ho,-563773,-1.20301e+06,9346
361,F,63,retired,undef,not commuting,Ho,-563773,-1.20301e+06,9346
362,M,52,working,industry,not commuting,Ho,-563773,-1.20301e+06,9346
363,M,12,student,undef,not commuting,Ho,-563644,-1.20265e+06,8866
364,F,8,student,undef,not commuting,Ho,-563644,-1.20265e+06,8866
365,M,44,working,tradeandmoto,not commuting,Ho,-563644,-1.20265e+06,8866
366,F,64,retired,undef,not commuting,Ho,-564891,-1.20162e+06,3887
367,M,73,retired,undef,not commuting,Ho,-564891,-1.20162e+06,3887
368,M,17,student,undef,not commuting,Ho,-564989,-1.20166e+06,3792
369,M,49,working,publicsector,not commuting,Ho,-564989,-1.20166e+06,3792
370,F,41,at home,undef,not commuting,Ho,-564989,-1.20166e+06,3792
371,M,19,student,undef,not commuting,Ho,-564989,-1.20166e+06,3792
372,F,22,student,undef,not commuting,Ho,-564818,-1.20172e+06,4437
373,F,44,working,tradeandmoto,not commuting,Ho,-564818,-1.20172e+06,4437
374,M,50,working,industry,not commuting,Ho,-564818,-1.20172e+06,4437
